,replyContent,score,content,thumbsUpCount
0,"We're sorry to hear that you feel this way, Lin Yao. 🙏 Do reach out to us via our 24/7 hotline at (+65) 3105 2055 so that we can address your concerns directly. We'd love to help. 💜",1,Not sure if i am already registered for the savimgs account really sucks!,0
1,Hi Kh Lim. We're sorry to hear this. Please contact our 24/7 hotline at (+65) 3105 2055 and we'll be more than happy to look into the matter.🙏,1,developer is nutshell brain i think proof of address have to take picture cannot upload???????????????????,0
2,"Hi Shaun. We're sorry to hear this and we would like to assist you with this issue. Please contact our 24/7 hotline at (+65) 3105 2055 and we'll be happy to help.🙏
",1,i cant eve open the app now and purchase things using their card. Uninstalling Now.,0
3,,5,Gif me mony plsse,0
4,"Hey Jiaxing! Hope you love the new ""Favourites"" feature in the GXS app! We're just as excited for all the cool things to come in the future. 💜",5,"Gxs is simple and easy to use, with a saving account/pocket that has minimal TnC. Finally I can add payees and there is a debit card too. I am looking forward to the introduction of credit card and perhaps, investment into money market funds.",15
5,"We apologize for the inconvenience you had to face, Edmund. 🙏 We're eager to understand the situation better and seek your assistance to drop us an email at help@gxs.com.sg, along with a screenshot of the issue you have encountered for us to investigate this issue further. Alternatively, you may call us at our 24x7 hotline at (+65) 3105 2055.",3,It always ask for finger identification even though it is given.,0
6,"Hi Sean, we understand your concern and we would like to assist you with this issue. Please contact our 24/7 hotline at (+65) 3105 2055 and we'll be more than happy to look into the matter.🙏",1,What I've installed on my phone is none of your business. I've been using these apps for years and your app only for a few months. Make a whitelist feature or this app will remain unusable for me.,0
7,"Hi Xiangqing, we'd love to look into this for you. Could you please reach out to us via our 24/7 hotline at (+65) 3105 2055? We'll be more than happy to look into the matter.🙏",1,cant logging using finger print . previously still able to use . so pissed off with the update .,0
8,"Hi Matt, thanks for reaching out! If you are referring to our GXS FlexiLoan, please be assured that all applications go through an evaluation process that is aligned with our internal requirements. This includes an assessment of your credit profile and eligibility. You may wish to re-apply for the FlexiLoan after 30 days. 🙏",1,For 1st time registration signup by singpass and all info's needed but still my application is denied.,0
9,"Hi Jeremy, could you share more details on the issue you faced please? 👀 We'd love to help, but we recommend giving our hotline a call at (+65) 3105 2055 for the best assistance. 🙏",4,"Updated - Kindly ignore my previous rating, and I have amended my rating. My son did a Giro to link his Grab Account to GXS but neglected to inform us of the transaction.",0
